play_id,index,game_id,game_date,time,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,qtr,home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,drive,sp,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,pass_length,air_yards,yards_after_catch,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,td_team,total_home_score,total_away_score,posteam_score,defteam_score,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,fumble,complete_pass,Start_Time,diff,Estimated_Time,Estimated_Hour,Air Pressure (hPa),City,Dewpoint (°C),Field,Humidity (%),Precipitation (mm),Roof,Team Abbreviation,Temperature (°C),Time (EST),Time (GMT),Wind Direction (deg),Wind Speed (km/h),game_name,end_of_drive,end_of_game,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LA,LAC,MIA,MIN,NE,NO,NYG,NYJ,OAK,PHI,PIT,SEA,SF,TB,TEN,WAS,year,week,cum_yds
44,363183,2017091003,2017-09-10 00:00:00,15:00,900.0,1800.0,3600.0,Half1,0,1,CLE,PIT,CLE,home,PIT,PIT,35.0,1,0,,0.0,PIT 35,0,0,"C.Boswell kicks 65 yards from PIT 35 to end zone, Touchback.",kickoff,0.0,,,,,,,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-10 13:00:00,0 days 00:00:00.000000000,2017-09-10 13:00:00,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,0
59,363184,2017091003,2017-09-10 00:00:00,15:00,900.0,1800.0,3600.0,Half1,0,1,CLE,PIT,CLE,home,PIT,CLE,75.0,1,0,1.0,0.0,CLE 25,10,1,(15:00) (Shotgun) D.Kizer scrambles right end to CLE 26 for 1 yard (A.Chickillo).,run,1.0,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-10 13:00:00,0 days 00:00:00.000000000,2017-09-10 13:00:00,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,1
80,363185,2017091003,2017-09-10 00:00:00,14:24,864.0,1764.0,3564.0,Half1,0,1,CLE,PIT,CLE,home,PIT,CLE,74.0,1,0,2.0,0.0,CLE 26,9,-8,(14:24) (Shotgun) I.Crowell right tackle ran ob at CLE 17 for -9 yards (S.Tuitt).,run,-9.0,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-10 13:00:00,0 days 00:01:48.000000000,2017-09-10 13:01:48,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-7
106,363186,2017091003,2017-09-10 00:00:00,13:51,831.0,1731.0,3531.0,Half1,0,1,CLE,PIT,CLE,home,PIT,CLE,83.0,1,0,3.0,0.0,CLE 17,18,-9,"(13:51) (Shotgun) PENALTY on CLE-J.Thomas, False Start, 5 yards, enforced at CLE 17 - No Play.",no_play,0.0,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-10 13:00:00,0 days 00:03:27.000000000,2017-09-10 13:03:27,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-16
129,363187,2017091003,2017-09-10 00:00:00,13:35,815.0,1715.0,3515.0,Half1,0,1,CLE,PIT,CLE,home,PIT,CLE,88.0,1,0,3.0,0.0,CLE 12,23,-9,(13:35) (Shotgun) I.Crowell right guard to CLE 16 for 4 yards (W.Gay; L.Walton).,run,4.0,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-10 13:00:00,0 days 00:04:15.000000000,2017-09-10 13:04:15,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-25
150,363188,2017091003,2017-09-10 00:00:00,12:44,764.0,1664.0,3464.0,Half1,0,1,CLE,PIT,CLE,home,PIT,CLE,84.0,1,1,4.0,0.0,CLE 16,19,-9,"(12:44) B.Colquitt punt is BLOCKED by T.Matakevich, Center-C.Hughlett, RECOVERED by PIT-A.Chickillo at CLE -8. TOUCHDOWN.",punt,0.0,,,,,,,,PIT,0,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-10 13:00:00,0 days 00:06:48.000000000,2017-09-10 13:06:48,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,1,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-34
189,363189,2017091003,2017-09-10 00:00:00,12:44,764.0,1664.0,3464.0,Half1,0,1,CLE,PIT,CLE,home,PIT,PIT,35.0,2,0,,0.0,PIT 35,0,0,"C.Boswell kicks 65 yards from PIT 35 to end zone, Touchback.",kickoff,0.0,,,,,,,,,0,6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-10 13:00:00,0 days 00:06:48.000000000,2017-09-10 13:06:48,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-34
204,363190,2017091003,2017-09-10 00:00:00,12:44,764.0,1664.0,3464.0,Half1,0,1,CLE,PIT,CLE,home,PIT,CLE,75.0,2,0,1.0,0.0,CLE 25,10,5,(12:44) I.Crowell right guard to CLE 30 for 5 yards (V.Williams).,run,5.0,,,,,,,,,0,6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-10 13:00:00,0 days 00:06:48.000000000,2017-09-10 13:06:48,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-29
225,363191,2017091003,2017-09-10 00:00:00,12:08,728.0,1628.0,3428.0,Half1,0,1,CLE,PIT,CLE,home,PIT,CLE,70.0,2,0,2.0,0.0,CLE 30,5,-2,"(12:08) (Shotgun) I.Crowell right end to CLE 35 for 5 yards (J.Hargrave). PENALTY on CLE-D.Njoku, Offensive Holding, 10 yards, enforced at CLE 33.",run,3.0,,,,,,,,,0,6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-10 13:00:00,0 days 00:08:36.000000000,2017-09-10 13:08:36,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-31
257,363192,2017091003,2017-09-10 00:00:00,11:40,700.0,1600.0,3400.0,Half1,0,1,CLE,PIT,CLE,home,PIT,CLE,77.0,2,0,2.0,0.0,CLE 23,12,5,(11:40) (Shotgun) I.Crowell left guard to CLE 24 for 1 yard (T.Alualu).,run,1.0,,,,,,,,,0,6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-10 13:00:00,0 days 00:10:00.000000000,2017-09-10 13:10:00,2017-09-10 13:00:00,1032.1,Cleveland,7.7,Kentucky bluegrass,45.0,0.0,Open,CLE,20.0,2017-09-10 13:00:00,2017-09-10 17:00:00,60.0,9.4,PIT @ CLE 2017-09-10,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,2017,1.0,-26
